No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur,pca1,pca2,dbscanonly_kluster,PeningkatanDBSCAN_3klaster,skor_akreditasi_n,siswa_total_n,jumlah_ruangan_n,wilayah_total_n,daya_listrik_n,jumlah_guru_n,staf_total_n,skor_rekomendasi,peringkat
5260,UPT SDN 72 BONTOLOE,SD,Negeri,294,8,2,7,5500,1965,70,-5.447191,119.482834,-0.432005129,-0.127443372,0,0,1,0.184789441,0.920454545,0.997940158,0.980442053,0.936,0.9375,100,1
2097,SD INPRES PENGGENTUNGANG UTARA,SD,Negeri,406,21,2,7,900,2594,71,-5.349262,119.736626,0.435069541,-0.430364285,1,0,0.956521739,0.255185418,0.920454545,0.997268841,0.997164461,0.832,0.9375,99.7999701,2
2242,SD INPRES BORONGKALUKU,SD,Negeri,334,10,2,7,900,4126,71,-5.028843,119.913006,-0.262394868,-0.257912314,0,0,0.956521739,0.209930861,0.920454545,0.995633775,0.997164461,0.92,0.9375,98.37484196,3
4072,UPT SD NEGERI 149 PINRANG,SD,Negeri,240,10,3,7,5500,602,70,-3.551791,120.047481,-0.328563094,-0.170997853,0,0,1,0.150848523,0.920454545,0.999394855,0.980442053,0.92,0.90625,97.72314865,4
2227,SD NEGERI ANASSAPPU,SD,Negeri,201,10,0,8,1300,1547,70,-5.038417,120.067549,-0.870676109,-0.107039182,0,0,1,0.126335638,0.909090909,0.998386279,0.995710339,0.92,1,97.15484347,5
4475,SD NEGERI 4 ARAWA,SD,Negeri,257,12,2,10,5500,2237,70,-3.875295,119.87073,-0.19648246,-0.542363441,1,0,1,0.161533627,0.886363636,0.997649859,0.980442053,0.904,0.9375,96.92312976,6
7163,UPTD SMPN 31 SATAP LALANG TEDONG,SMP,Negeri,150,9,2,4,3500,578,70,-5.002962,119.589932,-1.016311712,-0.059984764,0,0,1,0.094280327,0.954545455,0.999420469,0.987712665,0.928,0.9375,96.76266953,7
3076,SD KRISTEN BUNGIN PASANG,SD,Swasta,146,4,1,6,900,1626,70,-2.654419,120.43687,-1.360769412,-0.379605287,1,0,1,0.091766185,0.931818182,0.998301964,0.997164461,0.968,0.96875,96.53009265,8
2318,SD INPRES BIRING PANTING,SD,Negeri,176,8,1,7,3500,2623,70,-5.071647,120.028718,-0.92533518,-0.053167434,1,0,1,0.11062225,0.920454545,0.99723789,0.987712665,0.936,0.96875,96.52009532,9
2671,UPT SD NEGERI 11 BANGKALA BARAT,SD,Negeri,187,9,2,7,900,3703,70,-5.563284,119.67675,-0.787278929,-0.51428466,1,0,1,0.117536141,0.920454545,0.996085233,0.997164461,0.928,0.9375,96.50613811,10
3887,SD NEGERI 24 KALIBONE,SD,Negeri,194,8,2,8,1300,1040,70,-5.043912,119.491488,-0.66636526,-0.176988503,1,0,1,0.121935889,0.909090909,0.998927388,0.995710339,0.936,0.9375,96.40973068,11
2758,UPT SD NEGERI 11 TAROWANG,SD,Negeri,173,10,1,7,900,2171,70,-5.682039,119.744749,-0.866131056,-0.13055316,1,0,1,0.108736644,0.920454545,0.997720299,0.997164461,0.92,0.96875,96.36163083,12
