ranking,Nama Sekolah,siswa_total,skor_akreditasi,jumlah_ruangan,wilayah_total,jumlah_guru,staf_total,daya_listrik,Lintang,Bujur,pca1,pca2,dbscan_kluster,kmeans_klaster
1,UPT SPF SD INPRES PAGANDONGAN 2,232,82,7,2800,11,2,950,-5.079037261,119.4934201,0.188172545,-0.723555375,0,0
2,SD IT IMAM SYAFI I,167,79,7,182,12,2,2200,-5.083420262,119.5330994,-0.160199721,-0.654282629,0,0
3,SD MUHAMMADIYAH MIMBAR,220,81,8,374,9,3,1200,-5.1315,119.4308,1.911913567,-1.035814955,0,0
4,UPT SPF SD INPRES BATUA II,180,81,5,500,12,3,2200,-5.147807,119.42696,0.14753995,-0.721086831,0,0
5,UPT SPF SD INPRES TELLO BARU III,183,81,6,384,12,2,440,-5.150342,119.441722,0.455924302,-0.590709414,0,0
6,SD MUHAMMADIYAH IDI TELLO BARU,199,82,8,800,9,2,2200,-5.142905,119.425465,0.274897554,-0.653998184,0,0
7,UPTD SD NEGERI 48 BARRU,200,75,7,547,12,2,900,-4.410735,119.623852,0.237150657,-0.653029642,0,0
8,UPTD SD NEGERI 84 BARRU,164,74,7,946,10,3,1300,-4.403914,119.637532,-0.262451614,-0.536564344,0,0
9,UPTD SD NEGERI 122 BARRU,177,80,7,2585,8,3,2200,-4.422095,119.63207,0.46694656,-0.724902248,0,0
10,SD INPRES 10/73 PALATTAE,166,75,8,1672,9,3,1300,-4.54152,120.21199,0.392746402,-0.712564154,0,0
11,SD INPRES 12/79 LAPPA UPANG,165,78,7,1195,8,3,2200,-4.539501,120.23018,-1.240303489,-0.422518153,0,0
12,SD NEGERI 18 BAJOE,212,74,7,1942,10,3,2200,-4.314249,120.282349,-0.23209,3.437818553,0,1
13,SD NEGERI 108 POMPANUA,163,77,7,1826,5,2,1300,-4.306003,120.471213,-1.118246887,-0.258967735,0,0
14,SD INPRES 5/81 LEMOAPE,189,74,7,1342,9,3,900,-4.889073,120.225546,1.187768412,-0.757424493,0,0
15,SD INPRES 12/79 GATTARENG,184,79,9,2807,9,3,900,-4.746232,119.867233,0.802264957,-0.703450875,0,0
16,SD NEGERI 206 BONTONYELENG,175,78,9,2575,12,2,2200,-5.440686,120.482778,-0.891916302,-0.512651545,0,0
17,SD MUHAMMADIYAH,200,76,9,1678,11,3,2200,-5.21186,120.169614,-0.163790123,2.240101108,0,0
18,SD NEGERI MANGASA,241,81,6,2539,12,3,900,-5.132597,119.504074,2.074910069,-0.632277185,0,0
19,SD NEGERI BONTOCINDE,171,79,7,985,8,3,1300,-5.281937,119.919251,1.827159443,-0.652384607,0,0
20,SD INPRES BONE,173,80,7,2578,9,1,1300,-5.18599,119.588679,0.539534254,-0.753763143,0,0
21,SD Negeri Lonrong,217,79,6,1187,7,3,900,-5.426569,119.93489,0.495807247,-0.406128496,0,0
22,SD NEGERI PANNYANGKALANG,193,75,7,1007,7,3,900,-5.048177,119.840052,1.153193009,-0.908065397,0,0
23,SD INPRES KAMPUNG MEJANG,206,75,9,2760,11,1,900,-5.118433,119.680051,0.700824342,-0.719016353,0,0
24,SD INPRES TABUAKKANG,166,71,6,3281,7,2,1300,-5.433084,119.97494,-0.524023342,-0.509202137,0,0
25,SD NEGERI ANASSAPPU,201,70,8,1547,10,0,1300,-5.038417,120.067549,0.612098323,-0.371363879,0,0
26,SD INPRES SARITENE,235,81,7,2650,10,3,2200,-5.132818,119.591636,0.588726879,-0.374426328,0,0
27,SD INPRES KALUKUANG BOKA,177,81,7,3101,7,3,900,-5.485779,119.511983,0.05229989,-0.255605673,0,0
28,SD INPRES KAMPUNG PARANG,188,75,7,526,7,3,900,-5.381751,119.624616,0.744134338,-0.450299275,0,0
29,SD INPRES SALUTTOWA,178,80,7,2399,6,2,1300,-5.232321,119.839207,0.919785172,-0.444160464,0,0
30,SD NEGERI KANREAPIA,236,75,7,2115,9,3,900,-5.059966,119.83031,-0.315939667,-0.592110588,0,0
31,SD INPRES SAPAYA,185,76,7,1913,10,2,900,-5.211706,119.566639,0.946421032,-0.489830174,0,0
32,UPT SD NEGERI 2 BONTORAMBA,198,82,7,1129,9,2,2200,-5.75061,119.54316,0.335418355,-0.30251797,0,0
33,UPT SD NEGERI 27 BANGKALA,164,76,7,1637,9,3,2200,-5.794659,119.600075,0.400792946,-0.382893472,0,0
34,UPT SD NEGERI 6 TAMALATEA,197,76,7,1273,10,2,2200,-5.768306,119.727775,0.567492845,-0.718319922,0,0
35,UPT SD NEGERI 12 ARUNGKEKE,174,73,7,2104,8,2,900,-5.735602,119.702138,0.717410023,-0.384969053,0,0
36,UPT SD NEGERI 4 ARUNGKEKE,169,80,7,3317,11,1,900,-5.797747,119.772992,0.162376801,-0.326889813,0,0
37,UPT SD NEGERI 11 TAROWANG,173,70,7,2171,10,1,900,-5.682039,119.744749,0.516067637,-0.391316076,0,0
38,UPT SD NEGERI 17 TAROWANG,190,76,7,1960,10,2,2200,-5.500721,119.336441,0.754645825,-0.440192265,0,0
39,UPT SD NEGERI 3 TAROWANG,187,80,7,2479,9,3,1300,-5.788488,119.569661,2.15670639,-0.7289502,0,2
40,SD NEGERI 439 PAMMESAKANG,181,76,8,516,8,3,1300,-2.898746,121.085276,1.020449724,-0.443739005,0,0
41,SD NEGERI NO 64 BALAMBANG,250,70,8,2654,12,3,2200,-2.782368,120.850738,0.367316316,-0.604228853,0,0
42,SD NEGERI 5 RIWANG,163,80,6,1828,7,3,1300,-2.855313,120.536482,-0.544308285,-0.171633425,0,0
43,SD NEGERI 482 MALAKA,202,81,8,2221,12,3,2200,-3.037532,120.823843,2.372365646,-0.458218647,0,2
44,SD NEGERI 96 CAMPUREJO WALENRANG,174,77,7,1064,10,3,1300,-2.895934,120.773875,1.522502583,-0.596867612,0,0
45,SD NEGERI 225 KAREBBE,194,74,9,2744,10,2,2200,-2.597617,121.211799,0.675719589,0.377000315,0,0
46,SD NEGERI 240 PODOMORO,173,73,9,3330,11,3,1300,-2.595969,121.207566,0.67449203,-0.408649102,0,0
47,SDIT ATTAUFIQ,172,80,7,3363,9,1,2200,-2.58777,121.208178,0.451175775,-0.365518888,0,0
48,UPT SD NEGERI 130 BENTENG,200,81,9,1388,11,3,900,-2.551112,120.441757,-0.815255509,-0.101437302,0,0
49,UPT SD NEGERI 159 MULYOREJO I,224,71,7,2192,6,3,1300,-2.535751,120.446189,1.555228022,-0.223245886,0,0
50,UPTD SDN 105 INPRES ALATENGAE,213,73,8,571,9,2,900,-4.998174,119.582505,-0.937095892,-0.095118818,0,0
51,UPTD SDN 18 BELANGBELANG,252,73,8,652,9,3,2200,-5.000326,119.58373,-0.945868543,0.275890357,0,0
52,UPTD SDN 242 INPRES DAMMA,208,74,9,3145,10,2,900,-5.011535,119.589393,4.109452141,1.106385956,0,2
53,SD NEGERI 5 BOWONG,188,75,8,817,8,3,1300,-5.216032,119.312657,-1.161047221,-0.095235419,0,0
54,SD NEGERI 16 BUCINRI,177,75,9,1109,10,3,1300,-5.009446,119.800897,1.004430257,-0.403761642,0,0
55,SD NEGERI 4 TALA,163,80,9,1268,12,2,900,-5.286022,119.327935,0.690315179,0.339781397,0,0
56,SD NEGERI 24 KALIBONE,194,70,8,1040,8,2,1300,-5.043912,119.491488,6.934139871,-1.838807524,0,2
57,SD NEGERI 29 LIMBUA,208,76,9,2054,12,2,900,-5.352413,119.493932,1.658413417,-0.535468044,0,0
58,UPT SD NEGERI 143 PINRANG,182,81,7,1123,7,2,1300,-3.191109,119.67485,0.049538789,-0.107899243,0,0
59,UPT SD NEGERI 139 PINRANG,186,75,9,2802,10,3,900,-3.42882,119.513247,-0.983387338,-0.026664976,0,0
