No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur
1,UPT SPF SD INPRES BADDOKA,SD,Negeri,337,18,3,13,1300,2808,81,509153567,1195133502
2,UPT SPF SD INPRES BAKUNG 1,SD,Negeri,243,15,4,8,900,3000,84,5073361105,1195294071
3,UPT SPF SD INPRES BAKUNG 2,SD,Negeri,269,16,5,8,4400,2500,84,5079140801,119529189
4,UPT SPF SD INPRES DAYA,SD,Negeri,498,28,3,13,4640,1200,87,5112902708,119512008
5,UPT SPF SD INPRES KALANG TUBUNG 2,SD,Negeri,195,15,1,8,1300,1505,81,5080894528,119536749
6,UPT SPF SD INPRES KALANGTUBUNG 1,SD,Negeri,311,16,4,8,2297,1650,82,5093886758,1195353756
7,UPT SPF SD INPRES LAELAE 2,SD,Negeri,162,14,6,7,900,1200,82,506840601,1194730003
8,UPT SPF SD INPRES LAIKANG,SD,Negeri,654,23,6,15,1300,2542,85,5095831785,1195326686
9,UPT SPF SD INPRES MANDAI,SD,Negeri,339,16,4,8,5000,1430,86,5080546121,1195212768
10,UPT SPF SD INPRES MANGGA TIGA,SD,Negeri,509,25,6,11,2200,1925,92,5123521849,1195311511
11,UPT SPF SD INPRES MANNURUKI 1,SD,Negeri,353,21,4,9,1400,3250,88,5115444145,1195318763
12,UPT SPF SD INPRES MANNURUKI 2,SD,Negeri,327,19,3,8,1300,2640,82,5167546849,1194450746
13,UPT SPF SD INPRES PACCERAKKANG,SD,Negeri,686,33,2,17,4400,2229,91,5119901646,1195224188
14,UPT SPF SD INPRES PAGANDONGAN 1,SD,Negeri,346,16,5,8,2200,4900,79,5079058634,119493463
15,UPT SPF SD INPRES PAGANDONGAN 2,SD,Negeri,232,11,2,7,950,2800,82,5079037261,1194934201
16,UPT SPF SD INPRES PAI 1,SD,Negeri,461,24,5,9,1300,1600,79,5079015887,1194933665
17,UPT SPF SD INPRES PAI 2,SD,Negeri,299,17,6,7,1400,3300,83,5068459444,1194730432
18,UPT SPF SD INPRES PAJJAIANG,SD,Negeri,336,16,6,8,900,1700,88,5103702514,1195224374
19,UPT SPF SD INPRES PAJJAIANG 2,SD,Negeri,639,27,3,14,1300,2580,86,5106026038,1195346741
20,UPT SPF SD INPRES SUDIANG,SD,Negeri,306,18,5,7,900,1460,82,5080471314,1195212554
21,UPT SPF SD INPRES TANGKALA 1,SD,Negeri,246,16,2,11,1300,1875,83,5092173042,1195247314
22,UPT SPF SD INPRES TANGKALA II,SD,Negeri,561,33,4,12,2200,2100,86,5103024178,1195352032
23,UPT SPF SD NEGERI BADDOKA,SD,Negeri,506,25,4,10,1300,1920,85,5104490842,1194916881
24,UPT SPF SD NEGERI BATUTAMBUNG,SD,Negeri,207,14,3,10,1200,3276,85,5168091762,1194452122
25,UPT SPF SD NEGERI BULUROKENG,SD,Negeri,702,32,3,14,1300,2808,85,507759872,1194991775
26,UPT SPF SD NEGERI BULUROKENG 1,SD,Negeri,438,21,3,18,2200,4900,93,5079015887,1194934523
27,UPT SPF SD NEGERI DAYA 1,SD,Negeri,392,17,2,9,899,3588,85,5078043064,1194935378
28,UPT SPF SD NEGERI DAYA II,SD,Negeri,525,23,4,11,2300,1068,84,511077139,1195107381
29,UPT SPF SD NEGERI MALEWANG,SD,Negeri,141,11,2,10,2200,2120,82,5066316143,119526831
30,UPT SPF SD NEGERI MANDAI,SD,Negeri,383,18,4,9,5500,1650,81,5080556808,1195213627
31,UPT SPF SD NEGERI Nusa Harapan Permai,SD,Negeri,225,13,3,6,1300,1550,80,5146391558,1195178996
32,UPT SPF SD NEGERI PACCERAKKANG,SD,Negeri,341,15,4,7,2500,2021,81,5104469469,1194916666
